Banks,Beggin For Thread,Goddess (Deluxe),https://open.spotify.com/track/4PvD06Pmbm2rHG2JjSlElF,60
Paula Temple,Deathvox,Deathvox,https://open.spotify.com/track/0vOqX0wKFkaYsS56FGoTTQ,17
Banks,Gemini Feed,The Altar,https://open.spotify.com/track/5fdzPMOxUqVJYSzTP5cFP7,61
Katy Perry,Firework,Teenage Dream,https://open.spotify.com/track/0kUMtZVaYb7EETkBdrEXXA,66
Carly Rae Jepsen,Call Me Maybe,Kiss (Deluxe),https://open.spotify.com/track/3TGRqZ0a2l1LRblBkJoaDx,70
Taylor Swift,Blank Space,1989,https://open.spotify.com/track/1p80LdxRV74UKvL8gnD7ky,73
Adele,Someone Like You,21,https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB,78
Adele,When We Were Young,25,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL,74
Katy Perry,Chained To The Rhythm,Witness,https://open.spotify.com/track/5tP2TrJDgXXxAHZwcOknOI,75
Kesha,Die Young,Warrior (Deluxe Version),https://open.spotify.com/track/6mnjcTmK8TewHfyOp3fC9C,74
Lady Gaga,The Cure,The Cure,https://open.spotify.com/track/34oB5r0lcN3fYWCs2uA1k5,77
Ciara,I Bet,Jackie (Deluxe),https://open.spotify.com/track/20lNo44eUUCnyNNInzwkv9,58
Demi Levato,Sexy Dirty Love,Tell Me You Love Me (Deluxe),https://open.spotify.com/track/6KgBPMJofuXQsC1nDakraN,64
Destiny's Child,Say My Name,The Writing's On The Wall,https://open.spotify.com/track/7H6ev70Weq6DdpZyyTmUXk,78
Lana Del Rey,Lust For Life (with The Weeknd),Lust For Life,https://open.spotify.com/track/0mt02gJ425Xjm7c3jYkOBn,74
Daya,Dare,"Sit Still, Look Pretty",https://open.spotify.com/track/2ziXuvdLMVT2ArxM8DUo1t,58
Halsey,Now Or Never,hopeless fountain kingdom (Deluxe),https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8,82
Daya,"Sit Still, Look Pretty","Sit Still, Look Pretty",https://open.spotify.com/track/0EGuSSpuu9wmHCtvb4PdLO,72
Zara Larsson,TG4M,So Good,https://open.spotify.com/track/4uoumbAMEMaKdtiv763jKz,77
Alicia Keys,No One,As I Am,https://open.spotify.com/track/0JEqGkvUiMTQmFY6sgL9kg,76
Jessie J,"Flashlight - From ""Pitch Perfect 2"" Soundtrack","Flashlight (From ""Pitch Perfect 2"" Soundtrack)",https://open.spotify.com/track/4rkUEE5iTzG0szS8k8QzqR,65
Zara Larsson,Don't Let Me Be Yours,So Good,https://open.spotify.com/track/65ACnVMmePTp8Xdk11jP2y,72
Beyonce,Best Thing I Never Had,4,https://open.spotify.com/track/3lBRNqXjPp2j3JMTCXDTNO,73
Taylor Swift,...Ready For It?,...Ready For It?,https://open.spotify.com/track/7zgqtptZvhf8GEmdsM2vp2,87
Alicia Keys,If I Ain't Got You,The Diary Of Alicia Keys,https://open.spotify.com/track/3XVBdLihbNbxUwZosxcGuJ,82
Lorde,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX","Homemade Dynamite (Feat. Khalid, Post Malone & SZA) [REMIX]",https://open.spotify.com/track/7rdUtXasA973gmrr2Xxh3E,85
Paula Temple,Oscillate,Tw33tz / Oscillate,https://open.spotify.com/track/0KLGSEjKAwzTF7wtjKmXdj,27
Adele,Water Under the Bridge,25,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,74
Demi Levato,Heart Attack,Demi,https://open.spotify.com/track/1V6gIisPpYqgFeWbMLI0bA,67
Lady Gaga,Poker Face,The Fame,https://open.spotify.com/track/0WfKDYeUAoLA3vdvLKKWMW,69
Halsey,Gasoline,BADLANDS (Deluxe),https://open.spotify.com/track/2IO7yf562c1zLzpanal1DT,75
